,phrases,labels
2812,hydrogel film,Material
2813,surface,Material
2814,swelling of the PAA inter-penetrating network,Process
2815,PAA inter-penetrating network,Process
2816,IPN,Process
2817,elevated pH,Material
2818,swelling differential,Process
2819,film,Material
2820,roll,Process
2821,accommodate the difference in surface area between the two surfaces,Task
2822,surfaces,Material
2823,photolithographic operation,Process
2824,rolling,Process
2825,unrolling,Process
2826,aqueous pH,Material
2827,versatile platform for creating a variety of hydrogel scaffolds,Material
2828,hydrogel scaffolds,Material
2829,proteins,Material
2830,hydrogels,Material
2831,biomedical applications,Task
2832,pressure in the etch chamber,Process
2833,keep the gas density stable,Task
2834,factorial screening,Process
2835,check for quadratic curvature,Process
2836,etch chamber,Material
2837,gas,Material
2838,automatic pressure control,Process
2839,adjusts the throttle valve,Process
2840,throttle valve,Material
2841,UNCD wafer,Material
2842,Several stamps were produced,Task
2843,Nanofeature stamps were then created,Task
2844,Al discharge layer,Material
2845,prevent e-beam deflection due to charge build-up on the surface,Task
2846,"EBL and HSQ development, t",Task
2847,ultra-nanocrystalline diamond,Material
2848,UNCD,Material
2849,chemical vapour deposition,Process
2850,CVD,Process
2851,vapour,Material
2852,RCA cleaning,Process
2853,ultrasonic solvent cleaning,Process
2854,conventional electron beam lithography,Process
2855,EBL,Process
2856,negative tone electron sensitive resist,Material
2857,hydrogen silsesquioxane,Material
2858,HSQ,Material
2859,circular pillars,Material
2860,HSQ,Material
2861,etch mask,Material
2862,RIE,Material
2863,oxygen,Material
2864,argon gas,Material
2865,etched diamond nanopillars,Material
2866,scanning electron micrograph,Material
2867,Copper electro-chemical deposition (ECD) of through silicon via (TSV),Task
2868,3D integration,Task
2869,numerical modeling of TSV filling,Process
2870,accelerator and the suppressor.,Material
2871,diffusion–adsorption model,Process
2872,level set method,Process
2873,track the copper and electrolyte interface,Task
2874,set of experimental Tafel curves,Material
2875,copper ECD process prediction,Process
2876,Copper electro-chemical deposition,Process
2877,ECD,Process
2878,through silicon via,Material
2879,TSV,Material
2880,TSV filling,Material
2881,simulation and effects of the additives,Process
2882,additives,Material
2883,LSM,Process
2884,ECD process optimization,Process
2885,simulation,Process
2886,superfilling,Material
2887,additives,Material
2888,restrict pollen tube growth to a single focal plane,Task
2889,growth analysis under microscopic observation,Process
2890,"assay pollen tube growth,",Process
2891,observe their growth in detail.,Process
2892,accurate microscopic observations,Task
2893,pollen tube growth,Process
2894,pollen tubes grow,Process
2895,assay pollen tube,Material
2896,assay pollen tube growth,Process
2897,assay pollen tube,Material
2898,poly-dimethylsiloxane microchannel device,Material
2899,isolate individual pollen tubes,Process
2900,pollen tubes,Material
2901,new method to assay pollen tube growth,Task
2902,pollen tube,Material
2903,pollen tube growth,Process
2904,pollen tube,Material
2905,signaling molecules,Material
2906,chemical products,Material
2907,plant reproduction,Process
2908,analyses of pollen tube growth,Task
2909,experiments on plant reproduction,Task
2910,metal films,Material
2911,polymer substrates,Material
2912,fragmentation testing,Process
2913,fragmentation testing,Process
2914,mechanical behavior,Process
2915,film-substrate couple,Material
2916,strained under uni-axial tension,Process
2917,light microscopy,Process
2918,scanning electron microscopy,Process
2919,Brittle metals,Material
2920,ceramic films,Material
2921,metal films,Material
2922,deform locally,Process
2923,Fragmentation testing,Process
2924,LM,Process
2925,SEM,Process
2926,σf=Efilmεf,Process
2927,shear lag model,Process
2928,fracture strain,Process
2929,study the mechanical behavior,Task
2930,strain,Process
2931,performed in-situ with LM or SEM,Task
2932,shear stress,Process
2933,crack spacing evolution,Process
2934,function of applied strain,Process
2935,tensile straining,Process
2936,brittle film,Material
2937,form cracks,Process
2938,buckling,Process
2939,delaminate,Process
2940,LM,Process
2941,SEM,Process
2942,LM,Process
2943,SEM,Process
2944,fracture,Process
2945,film,Material
2946,film,Material
2947,fracture strain,Process
2948,fracture,Process
2949,PDMS,Material
2950,Polydimethylsiloxane,Material
2951,replication of molds,Process
2952,rapid prototyping,Process
2953,fabricate microfluidic structures,Task
2954,PDMS,Material
2955,wet and dry etching,Process
2956,photolithographic patterning,Process
2957,laser ablation,Process
2958,“soft-lithography” techniques,Process
2959,PDMS,Material
2960,PDMS-based microfluidics,Process
2961,Replica molding,Process
2962,casting of prepolymer against a master and generating a replica of the master in PDMS,Process
2963,SoftLithoBox®,Material
2964,fabricate,Task
2965,soft-lithography techniques,Process
2966,PDMS-based LOC devices,Material
2967,rapid prototyping service,Process
2968,microfluidics,Material
2969,microfluidic,Material
2970,PDMS,Material
2971,microfluidics,Material
2972,PDMS,Material
2973,fabrication technique,Process
2974,prepolymer,Material
2975,PDMS,Material
2976,PAs,Material
2977,injected in vivo into models and spontaneously self-assemble into nanofibers in aqueous solutions,Process
2978,PAs,Material
2979,biomimetic materials,Material
2980,collagen-mimetic PAs,Material
2981,electrospinning,Process
2982,a manufacturing method,Process
2983,achieve fiber-like structures,Task
2984,PAs,Material
2985,costly manufacturing methods,Process
2986,conventional manufacturing methods,Process
2987,electrospinning,Process
2988,self-assembly,Process
2989,large-scale commercial production,Task
2990,compare and contrast,Process
2991,robustness of self-assemled PAs to electrospun nanofibers,Task
2992,PAs,Material
2993,tuned and optimized,Process
2994,PA nanofibers,Material
2995,a full-fledged commercialized medical product,Task
2996,Mice bearing the orthotopic model,Task
2997,mice with the pseudo-metastatic model,Task
2998,test the effects,Process
2999,our targeted formulations,Material
3000,These therapeutic schedules,Task
3001,preclinical models,Material
3002,Animals,Task
3003,untargeted,Material
3004,peptide-targeted SL[DXR],Material
3005,HEPES-buffered saline,Material
3006,Scrambled peptide-functionalized liposomes,Task
3007,Survival times,Material
3008,determining treatment efficacy,Task
3009,time-dependent anti-tumor activity,Material
3010,orthotopic model,Task
3011,d-luciferin,Material
3012,the GI-LI-N cell line,Task
3013,infected,Process
3014,visualized,Process
3015,luciferase activity,Task
3016,retrovirally-transduced cells,Material
3017,SL[DXR],Material
3018,pharmacyte approach,Process
3019,ACT T-cells,Material
3020,adjuvant drug,Material
3021,stimulation,Process
3022,expansion of the cell population in vivo,Process
3023,cell-bound particles,Material
3024,cell division,Process
3025,cell,Material
3026,supporting drugs,Material
3027,T-cells,Material
3028,nanoparticle drug carriers,Material
3029,transferred lymphocytes,Material
3030,supporting adjuvant drugs,Material
3031,elimination of large tumor burdens,Task
3032,“re-arming” of T-cells with supporting drugs,Process
3033,T-cells,Material
3034,supporting drugs,Material
3035,targeted particles,Material
3036,administration of targeted particles,Process
3037,adoptively-transferred T-cells,Material
3038,internalizing targeting ligands,Material
3039,nanoparticle carrier,Material
3040,nanoparticles,Material
3041,T-cells,Material
3042,T-cells,Material
3043,peptide-MHC ligands,Material
3044,T-cell receptors,Material
3045,peptide-MHC-functionalized nanoparticles,Material
3046,T-cells,Material
3047,treating graft rejection or autoimmunity,Task
3048,cancer immunotherapy,Task
3049,α-ω-aminohexylcarbamate derivative of cyanocobalamin,Material
3050,solid CDI,Material
3051,cyanocobalamin,Material
3052,anhydrous dimethyl sulfoxide,Material
3053,"dry 1,6-hexanediamine",Material
3054,ethyl acetate,Material
3055,centrifugation,Process
3056,decanting,Process
3057,supernatant,Material
3058,residue,Material
3059,acetone,Material
3060,precipitate,Material
3061,solid,Material
3062,acetone,Material
3063,crude product,Material
3064,silica column chromatography,Process
3065,propanol,Material
3066,butanol,Material
3067,ammonia,Material
3068,water,Material
3069,lyophilisation,Process
3070,Immunopotentiators,Material
3071,activate innate immunity,Process
3072,pattern-recognition receptors,Process
3073,PRRs,Process
3074,Toll-like receptors,Process
3075,TLRs,Process
3076,PRRs,Process
3077,TLR ligands,Material
3078,antigen-presenting cells,Material
3079,TLR9,Material
3080,clinical studies,Task
3081,stimulated,Process
3082,synthetic oligodeoxynucleotides,Material
3083,unmethylated CpG dinucleotides,Material
3084,CpG,Material
3085,adjuvant,Material
3086,infectious disease vaccination,Task
3087,e development of cancer therapy,Task
3088,mouse model,Process
3089,CpG,Material
3090,induce T helper 1,Process
3091,production of IFN-γ and the generation of IgG2a,Process
3092,liposomes,Material
3093,Th1-biased cytokines,Material
3094,augmented cell mediated immune response,Process
3095,formulating anionic nanocomplexes,Task
3096,nanocomplexes,Material
3097,prepared,Process
3098,an anionic liposome,Material
3099,added,Process
3100,incubated,Process
3101,"LA, LAP1 or LAP2",Material
3102,added,Process
3103,incubated,Process
3104,DNA,Material
3105,peptide,Material
3106,added,Process
3107,incubated,Process
3108,added,Process
3109,liposome,Material
3110,incubated,Process
3111,LPD,Material
3112,LCPRGPD,Material
3113,added,Process
3114,DOTMA,Material
3115,DOPE,Material
3116,LCPRG,Material
3117,DNA,Material
3118,rapid mixing and incubated,Process
3119,LPD,Material
3120,liposome DOTMA/DOPE,Material
3121,LADP,Material
3122,PDLA,Material
3123,liposome LA,Material
3124,PDLAP1,Material
3125,liposome LAP1,Material
3126,PDLAP2,Material
3127,liposome LAP2,Material
3128,PDLAPRG,Material
3129,liposome LAPRG,Material
3130,LCPRGPD,Material
3131,liposome LCPRG,Material
3132,crack band approach,Process
3133,crack band approach,Process
3134,stress–inelastic strain law,Process
3135,inelastic strain profiles,Material
3136,crack-band approach,Process
3137,tensile part,Material
3138,tensile part,Material
3139,stress–inelastic strain law,Process
3140,stress–inelastic displacement law,Process
3141,(13)σ=ftexp(−ϵinhwft)if(ϵin>0),Process
3142,ylides,Material
3143,pyrene adducts,Material
3144,"1,3-DC",Material
3145,second pyridinium ylides,Material
3146,ylidepyrene adducts,Material
3147,HOMOylide–pyrene–LUMOylide,Material
3148,Regioselectivity of second cycloaddition,Task
3149,atomic orbital coefficients,Process
3150,HOMOylide–LUMOylide–pyrene,Material
3151,maximal HOMO–LUMO overlapping,Task
3152,ylides and ylidepyrene adducts,Material
3153,most favorable regioisomer conformation,Process
3154,ylide,Material
3155,ylidepyrene,Material
